language,parameter_id,parameter_name,value_number,value_name
Murle,1A,Consonant Inventories,3,Average
Nahuatl (North Puebla),1A,Consonant Inventories,2,Moderately small
Nahuatl (Tetelcingo),1A,Consonant Inventories,2,Moderately small
Nama,1A,Consonant Inventories,4,Moderately large
Natügu,1A,Consonant Inventories,4,Moderately large
Nanai,1A,Consonant Inventories,2,Moderately small
Nandi,1A,Consonant Inventories,1,Small
Nasioi,1A,Consonant Inventories,1,Small
Navajo,1A,Consonant Inventories,4,Moderately large
Naxi,1A,Consonant Inventories,5,Large
Ndut,1A,Consonant Inventories,4,Moderately large
Ndyuka,1A,Consonant Inventories,2,Moderately small
Nenets,1A,Consonant Inventories,4,Moderately large
Neo-Aramaic (Persian Azerbaijan),1A,Consonant Inventories,3,Average
Nepali,1A,Consonant Inventories,4,Moderately large
Newari (Kathmandu),1A,Consonant Inventories,3,Average
Nez Perce,1A,Consonant Inventories,4,Moderately large
Ngiti,1A,Consonant Inventories,5,Large
Nancowry,1A,Consonant Inventories,2,Moderately small
Nimboran,1A,Consonant Inventories,1,Small
Nivacle,1A,Consonant Inventories,3,Average
Nivkh,1A,Consonant Inventories,4,Moderately large
Nkore-Kiga,1A,Consonant Inventories,3,Average
Noni,1A,Consonant Inventories,3,Average
Norwegian,1A,Consonant Inventories,3,Average
Nobiin,1A,Consonant Inventories,2,Moderately small
Nunggubuyu,1A,Consonant Inventories,3,Average
Nuuchahnulth,1A,Consonant Inventories,5,Large
Nyah Kur (Tha Pong),1A,Consonant Inventories,4,Moderately large
Nyangi,1A,Consonant Inventories,2,Moderately small
Nyimang,1A,Consonant Inventories,2,Moderately small
Ocaina,1A,Consonant Inventories,4,Moderately large
Ogbia,1A,Consonant Inventories,3,Average
Ojibwa (Eastern),1A,Consonant Inventories,2,Moderately small
Oromo (Harar),1A,Consonant Inventories,4,Moderately large
Otomí (Mezquital),1A,Consonant Inventories,3,Average
Paamese,1A,Consonant Inventories,2,Moderately small
Páez,1A,Consonant Inventories,5,Large
Paiwan,1A,Consonant Inventories,3,Average
Panare,1A,Consonant Inventories,1,Small
Pashto,1A,Consonant Inventories,4,Moderately large
Passamaquoddy-Maliseet,1A,Consonant Inventories,2,Moderately small
Paumarí,1A,Consonant Inventories,3,Average
Pohnpeian,1A,Consonant Inventories,1,Small
Quechua (Cochabamba),1A,Consonant Inventories,4,Moderately large
Quileute,1A,Consonant Inventories,4,Moderately large
Rama,1A,Consonant Inventories,2,Moderately small
Rapanui,1A,Consonant Inventories,1,Small
Resígaro,1A,Consonant Inventories,4,Moderately large
Romansch (Scharans),1A,Consonant Inventories,3,Average
Romanian,1A,Consonant Inventories,3,Average
Roro,1A,Consonant Inventories,1,Small
Rotokas,1A,Consonant Inventories,1,Small
Rukai (Tanan),1A,Consonant Inventories,3,Average
Russian,1A,Consonant Inventories,4,Moderately large
Rutul,1A,Consonant Inventories,5,Large
Sa'ban,1A,Consonant Inventories,3,Average
Saami (Central-South),1A,Consonant Inventories,5,Large
Sáliba (in Colombia),1A,Consonant Inventories,3,Average
Bajau (Sama),1A,Consonant Inventories,4,Moderately large
Sandawe,1A,Consonant Inventories,5,Large
Sango,1A,Consonant Inventories,4,Moderately large
Sanuma,1A,Consonant Inventories,1,Small
Savosavo,1A,Consonant Inventories,2,Moderately small
Sebei,1A,Consonant Inventories,1,Small
Sedang,1A,Consonant Inventories,5,Large
Selepet,1A,Consonant Inventories,2,Moderately small
Selknam,1A,Consonant Inventories,3,Average
Selkup,1A,Consonant Inventories,2,Moderately small
Semelai,1A,Consonant Inventories,4,Moderately large
Senadi,1A,Consonant Inventories,3,Average
Seneca,1A,Consonant Inventories,1,Small
Sentani,1A,Consonant Inventories,1,Small
Shasta,1A,Consonant Inventories,2,Moderately small
Shipibo-Konibo,1A,Consonant Inventories,2,Moderately small
Shiriana,1A,Consonant Inventories,1,Small
Shuswap,1A,Consonant Inventories,5,Large
Miwok (Southern Sierra),1A,Consonant Inventories,2,Moderately small
Sindhi,1A,Consonant Inventories,5,Large
Sinhala,1A,Consonant Inventories,3,Average
Siona,1A,Consonant Inventories,2,Moderately small
Sirionó,1A,Consonant Inventories,3,Average
Slave,1A,Consonant Inventories,4,Moderately large
Soqotri,1A,Consonant Inventories,4,Moderately large
Somali,1A,Consonant Inventories,3,Average
Koyraboro Senni,1A,Consonant Inventories,2,Moderately small
Koyra Chiini,1A,Consonant Inventories,2,Moderately small
Tacana,1A,Consonant Inventories,2,Moderately small
Shan,1A,Consonant Inventories,3,Average
Tama,1A,Consonant Inventories,3,Average
Purépecha,1A,Consonant Inventories,4,Moderately large
Tarok,1A,Consonant Inventories,4,Moderately large
Tehuelche,1A,Consonant Inventories,4,Moderately large
Teke (Southern),1A,Consonant Inventories,3,Average
Telugu,1A,Consonant Inventories,4,Moderately large
Temein,1A,Consonant Inventories,2,Moderately small
Temne,1A,Consonant Inventories,2,Moderately small
Tera,1A,Consonant Inventories,5,Large
Tetun,1A,Consonant Inventories,1,Small
Thai,1A,Consonant Inventories,3,Average
Tibetan (Standard Spoken),1A,Consonant Inventories,5,Large
Ticuna,1A,Consonant Inventories,2,Moderately small
Tigak,1A,Consonant Inventories,1,Small
Tigré,1A,Consonant Inventories,4,Moderately large
Tiruray,1A,Consonant Inventories,2,Moderately small
Tiwa (Northern),1A,Consonant Inventories,4,Moderately large
Tiwi,1A,Consonant Inventories,3,Average
Tlapanec,1A,Consonant Inventories,3,Average
Tlingit,1A,Consonant Inventories,5,Large
Toaripi,1A,Consonant Inventories,1,Small
Tol,1A,Consonant Inventories,3,Average
Tonkawa,1A,Consonant Inventories,2,Moderately small
Totonac (Papantla),1A,Consonant Inventories,2,Moderately small
Trumai,1A,Consonant Inventories,3,Average
Tsimshian (Coast),1A,Consonant Inventories,5,Large
Tsou,1A,Consonant Inventories,2,Moderately small
Tukang Besi,1A,Consonant Inventories,3,Average
Tulu,1A,Consonant Inventories,3,Average
Tunica,1A,Consonant Inventories,2,Moderately small
Turkish,1A,Consonant Inventories,3,Average
Tuvan,1A,Consonant Inventories,3,Average
Tzeltal (Aguacatenango),1A,Consonant Inventories,3,Average
UMbundu,1A,Consonant Inventories,3,Average
Una,1A,Consonant Inventories,3,Average
Urubú-Kaapor,1A,Consonant Inventories,2,Moderately small
Usan,1A,Consonant Inventories,1,Small
Uzbek (Northern),1A,Consonant Inventories,3,Average
Dumo,1A,Consonant Inventories,1,Small
Vietnamese,1A,Consonant Inventories,3,Average
Western Desert (Ooldea),1A,Consonant Inventories,2,Moderately small
West Makian,1A,Consonant Inventories,2,Moderately small
Wahgi,1A,Consonant Inventories,2,Moderately small
Wambaya,1A,Consonant Inventories,2,Moderately small
Wapishana,1A,Consonant Inventories,2,Moderately small
Wappo,1A,Consonant Inventories,4,Moderately large
Warao,1A,Consonant Inventories,1,Small
Waray (in Australia),1A,Consonant Inventories,2,Moderately small
Wardaman,1A,Consonant Inventories,2,Moderately small
Wari',1A,Consonant Inventories,2,Moderately small
Waris,1A,Consonant Inventories,1,Small
Wichita,1A,Consonant Inventories,3,Average
Wik Munkan,1A,Consonant Inventories,1,Small
Wintu,1A,Consonant Inventories,4,Moderately large
Huitoto (Murui),1A,Consonant Inventories,2,Moderately small
Wiyot,1A,Consonant Inventories,3,Average
Woisika,1A,Consonant Inventories,2,Moderately small
Wolof,1A,Consonant Inventories,4,Moderately large
Min (Southern),1A,Consonant Inventories,3,Average
Yagaria,1A,Consonant Inventories,1,Small
Yagua,1A,Consonant Inventories,1,Small
Yakut,1A,Consonant Inventories,3,Average
Yana,1A,Consonant Inventories,3,Average
Yanyuwa,1A,Consonant Inventories,4,Moderately large
Yapese,1A,Consonant Inventories,3,Average
Yaqui,1A,Consonant Inventories,2,Moderately small
Yareba,1A,Consonant Inventories,1,Small
Yawa,1A,Consonant Inventories,1,Small
Yay,1A,Consonant Inventories,3,Average
Yelî Dnye,1A,Consonant Inventories,5,Large
Yessan-Mayo,1A,Consonant Inventories,2,Moderately small
Yeyi,1A,Consonant Inventories,5,Large
Yidiny,1A,Consonant Inventories,1,Small
Yimas,1A,Consonant Inventories,1,Small
Djapu,1A,Consonant Inventories,3,Average
Yoruba,1A,Consonant Inventories,2,Moderately small
Yucatec,1A,Consonant Inventories,3,Average
Yuchi,1A,Consonant Inventories,5,Large
Yucuna,1A,Consonant Inventories,2,Moderately small
Yukaghir (Kolyma),1A,Consonant Inventories,3,Average
Yukaghir (Tundra),1A,Consonant Inventories,3,Average
Yulu,1A,Consonant Inventories,5,Large
Yupik (Siberian),1A,Consonant Inventories,4,Moderately large
Yurok,1A,Consonant Inventories,4,Moderately large
Zoque (Copainalá),1A,Consonant Inventories,2,Moderately small
Zuni,1A,Consonant Inventories,3,Average
Po-Ai,1A,Consonant Inventories,2,Moderately small
Ma'ya,1A,Consonant Inventories,1,Small
Ju|'hoan,30A,Number of Genders,5,Five or more
Abkhaz,30A,Number of Genders,3,Three
Acoma,30A,Number of Genders,1,None
Ainu,30A,Number of Genders,1,None
Alagwa,30A,Number of Genders,2,Two
Alamblak,30A,Number of Genders,2,Two
Aleut,30A,Number of Genders,1,None
Amele,30A,Number of Genders,1,None
Amharic,30A,Number of Genders,2,Two
Apurinã,30A,Number of Genders,2,Two
Arabana,30A,Number of Genders,1,None
Arbore,30A,Number of Genders,2,Two
Archi,30A,Number of Genders,4,Four
Armenian (Eastern),30A,Number of Genders,1,None
Asmat,30A,Number of Genders,1,None
Awa Pit,30A,Number of Genders,1,None
Babungo,30A,Number of Genders,5,Five or more
Bagirmi,30A,Number of Genders,1,None
Barasano,30A,Number of Genders,3,Three
Basque,30A,Number of Genders,1,None
Bawm,30A,Number of Genders,1,None
Bayso,30A,Number of Genders,2,Two
Beja,30A,Number of Genders,2,Two
Brahui,30A,Number of Genders,1,None
Arapesh (Mountain),30A,Number of Genders,5,Five or more
Burmese,30A,Number of Genders,1,None
Burushaski,30A,Number of Genders,4,Four
Cahuilla,30A,Number of Genders,1,None
Khmer,30A,Number of Genders,1,None
Campa (Axininca),30A,Number of Genders,2,Two
Canela,30A,Number of Genders,1,None
Cantonese,30A,Number of Genders,1,None
Carib,30A,Number of Genders,1,None
Cayuvava,30A,Number of Genders,1,None
Pomo (Central),30A,Number of Genders,1,None
Khalaj,30A,Number of Genders,1,None
Mixtec (Chalcatongo),30A,Number of Genders,5,Five or more
Chamorro,30A,Number of Genders,1,None
Chichewa,30A,Number of Genders,5,Five or more
Chimariko,30A,Number of Genders,1,None
Chukchi,30A,Number of Genders,1,None
Chuvash,30A,Number of Genders,1,None
Tsimshian (Coast),30A,Number of Genders,1,None
Comanche,30A,Number of Genders,1,None
Zoque (Copainalá),30A,Number of Genders,1,None
Cree (Plains),30A,Number of Genders,2,Two
Daga,30A,Number of Genders,1,None
Defaka,30A,Number of Genders,3,Three
Diola-Fogny,30A,Number of Genders,5,Five or more
Diyari,30A,Number of Genders,2,Two
Dizi,30A,Number of Genders,2,Two
Djaru,30A,Number of Genders,1,None
Dong (Southern),30A,Number of Genders,1,None
Nubian (Dongolese),30A,Number of Genders,1,None
Dyirbal,30A,Number of Genders,4,Four
Arabic (Egyptian),30A,Number of Genders,2,Two
English,30A,Number of Genders,3,Three
Epena Pedee,30A,Number of Genders,1,None
Evenki,30A,Number of Genders,1,None
Ewe,30A,Number of Genders,1,None
Fijian,30A,Number of Genders,1,None
Finnish,30A,Number of Genders,1,None
French,30A,Number of Genders,2,Two
Fula (Guinean),30A,Number of Genders,5,Five or more
Georgian,30A,Number of Genders,1,None
German,30A,Number of Genders,3,Three
Godié,30A,Number of Genders,4,Four
Godoberi,30A,Number of Genders,3,Three
Gooniyandi,30A,Number of Genders,1,None
Grebo,30A,Number of Genders,3,Three
Greek (Modern),30A,Number of Genders,3,Three
Guaraní,30A,Number of Genders,1,None
Arabic (Gulf),30A,Number of Genders,2,Two
Guugu Yimidhirr,30A,Number of Genders,1,None
Haida,30A,Number of Genders,1,None
Coos (Hanis),30A,Number of Genders,1,None
Oromo (Harar),30A,Number of Genders,2,Two
Hatam,30A,Number of Genders,1,None
Hausa,30A,Number of Genders,2,Two
Hawaiian,30A,Number of Genders,1,None
Hayu,30A,Number of Genders,1,None
Hebrew (Modern),30A,Number of Genders,2,Two
Hindi,30A,Number of Genders,2,Two
Hixkaryana,30A,Number of Genders,2,Two
Hmong Njua,30A,Number of Genders,1,None
Hungarian,30A,Number of Genders,1,None
Hunzib,30A,Number of Genders,5,Five or more
Iaai,30A,Number of Genders,1,None
Icelandic,30A,Number of Genders,3,Three
Igbo,30A,Number of Genders,1,None
Ika,30A,Number of Genders,1,None
Quechua (Imbabura),30A,Number of Genders,1,None
Imonda,30A,Number of Genders,1,None
Indonesian,30A,Number of Genders,1,None
Ingush,30A,Number of Genders,5,Five or more
Iraqw,30A,Number of Genders,2,Two
Itelmen,30A,Number of Genders,1,None
Jaqaru,30A,Number of Genders,1,None
Tol,30A,Number of Genders,1,None
Kambera,30A,Number of Genders,1,None
Kannada,30A,Number of Genders,3,Three
Kanuri,30A,Number of Genders,1,None
Batak (Karo),30A,Number of Genders,1,None
Karok,30A,Number of Genders,1,None
Kashmiri,30A,Number of Genders,2,Two
Kayardild,30A,Number of Genders,1,None
Ket,30A,Number of Genders,3,Three
Kewa,30A,Number of Genders,1,None
Khalkha,30A,Number of Genders,1,None
Khasi,30A,Number of Genders,2,Two
Khmu',30A,Number of Genders,2,Two
Kilivila,30A,Number of Genders,1,None
Nyamwezi,30A,Number of Genders,5,Five or more
Kirghiz,30A,Number of Genders,1,None
Kisi,30A,Number of Genders,5,Five or more
Koasati,30A,Number of Genders,1,None
Kobon,30A,Number of Genders,1,None
Kolami,30A,Number of Genders,2,Two
Kongo,30A,Number of Genders,5,Five or more
Koromfe,30A,Number of Genders,3,Three
Koyraboro Senni,30A,Number of Genders,1,None
Kutenai,30A,Number of Genders,1,None
Ladakhi,30A,Number of Genders,1,None
Lahu,30A,Number of Genders,1,None
Lak,30A,Number of Genders,4,Four
Lango,30A,Number of Genders,1,None
Latvian,30A,Number of Genders,2,Two
Lavukaleve,30A,Number of Genders,3,Three
Chinantec (Lealao),30A,Number of Genders,2,Two
Lele,30A,Number of Genders,2,Two
Lepcha,30A,Number of Genders,1,None
Lezgian,30A,Number of Genders,1,None
Lingala,30A,Number of Genders,5,Five or more
Dani (Lower Grand Valley),30A,Number of Genders,1,None
Luvale,30A,Number of Genders,5,Five or more
Macushi,30A,Number of Genders,2,Two
Makah,30A,Number of Genders,1,None
Malagasy,30A,Number of Genders,1,None
Maltese,30A,Number of Genders,2,Two
Mandarin,30A,Number of Genders,1,None
Mangarrayi,30A,Number of Genders,3,Three
Maori,30A,Number of Genders,1,None
Mapudungun,30A,Number of Genders,1,None
Marathi,30A,Number of Genders,3,Three
Margany,30A,Number of Genders,1,None
Maricopa,30A,Number of Genders,1,None
Marind,30A,Number of Genders,4,Four
Martuthunira,30A,Number of Genders,1,None
Maung,30A,Number of Genders,5,Five or more
Bininj Gun-Wok,30A,Number of Genders,4,Four
Maybrat,30A,Number of Genders,2,Two
Meithei,30A,Number of Genders,1,None
Totonac (Misantla),30A,Number of Genders,1,None
Miya,30A,Number of Genders,2,Two
Mokilese,30A,Number of Genders,1,None
Mosetén,30A,Number of Genders,2,Two
Mundari,30A,Number of Genders,2,Two
Murle,30A,Number of Genders,1,None
Nama,30A,Number of Genders,3,Three
Ndyuka,30A,Number of Genders,1,None
Nenets,30A,Number of Genders,1,None
Nez Perce,30A,Number of Genders,1,None
Ngan'gityemerri,30A,Number of Genders,5,Five or more
Ngiyambaa,30A,Number of Genders,1,None
Nicobarese (Car),30A,Number of Genders,3,Three
Nivkh,30A,Number of Genders,1,None
Nkore-Kiga,30A,Number of Genders,5,Five or more
Nunggubuyu,30A,Number of Genders,5,Five or more
Nyiha,30A,Number of Genders,5,Five or more
Ojibwa (Eastern),30A,Number of Genders,2,Two
Oneida,30A,Number of Genders,3,Three
Orok,30A,Number of Genders,1,None
Otomí (Mezquital),30A,Number of Genders,1,None
Paiwan,30A,Number of Genders,1,None
Palauan,30A,Number of Genders,1,None
Pashto,30A,Number of Genders,2,Two
Passamaquoddy-Maliseet,30A,Number of Genders,2,Two
Paumarí,30A,Number of Genders,4,Four
Persian,30A,Number of Genders,1,None
Pileni,30A,Number of Genders,1,None
Pipil,30A,Number of Genders,1,None
Pirahã,30A,Number of Genders,4,Four
Pitjantjatjara,30A,Number of Genders,1,None
Pitta Pitta,30A,Number of Genders,2,Two
Panjabi,30A,Number of Genders,2,Two
Qafar,30A,Number of Genders,2,Two
Rama,30A,Number of Genders,1,None
Rapanui,30A,Number of Genders,1,None
Rendille,30A,Number of Genders,2,Two
Retuarã,30A,Number of Genders,3,Three
Russian,30A,Number of Genders,3,Three
Sahaptin (Umatilla),30A,Number of Genders,1,None
Sango,30A,Number of Genders,1,None
Sawu,30A,Number of Genders,1,None
Gaelic (Scots),30A,Number of Genders,2,Two
Semelai,30A,Number of Genders,1,None
Seneca,30A,Number of Genders,3,Three
Sentani,30A,Number of Genders,1,None
Shipibo-Konibo,30A,Number of Genders,1,None
Shona,30A,Number of Genders,5,Five or more
Erromangan,30A,Number of Genders,1,None
Miwok (Southern Sierra),30A,Number of Genders,1,None
Sirionó,30A,Number of Genders,1,None
Spanish,30A,Number of Genders,2,Two
Suena,30A,Number of Genders,1,None
Supyire,30A,Number of Genders,5,Five or more
Swahili,30A,Number of Genders,5,Five or more
Arabic (Syrian),30A,Number of Genders,2,Two
Taba,30A,Number of Genders,1,None
Tagalog,30A,Number of Genders,2,Two
Taiap,30A,Number of Genders,2,Two
Berber (Middle Atlas),30A,Number of Genders,2,Two
Tamil,30A,Number of Genders,3,Three
Nahuatl (Tetelcingo),30A,Number of Genders,1,None
Thai,30A,Number of Genders,1,None
Thompson,30A,Number of Genders,1,None
Tibetan (Standard Spoken),30A,Number of Genders,1,None
Tidore,30A,Number of Genders,3,Three
Tigré,30A,Number of Genders,2,Two
Tiwi,30A,Number of Genders,2,Two
Tsez,30A,Number of Genders,4,Four
Tukang Besi,30A,Number of Genders,1,None
Tümpisa Shoshone,30A,Number of Genders,1,None
Tunica,30A,Number of Genders,2,Two
Turkish,30A,Number of Genders,1,None
Tuvaluan,30A,Number of Genders,1,None
Ukrainian,30A,Number of Genders,3,Three
Una,30A,Number of Genders,1,None
Uradhi,30A,Number of Genders,1,None
Urubú-Kaapor,30A,Number of Genders,1,None
Usan,30A,Number of Genders,1,None
Uzbek,30A,Number of Genders,1,None
Vietnamese,30A,Number of Genders,1,None
Mansi,30A,Number of Genders,1,None
Wambaya,30A,Number of Genders,4,Four
Warao,30A,Number of Genders,1,None
Wardaman,30A,Number of Genders,3,Three
Wari',30A,Number of Genders,3,Three
Watjarri,30A,Number of Genders,1,None
Greenlandic (West),30A,Number of Genders,1,None
Wichita,30A,Number of Genders,1,None
